Country,Year,Indicator,Subindicator_Type,subindex
Angola,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.5872
Angola,2006,Economic_Participation_and_Opportunity_Subindex,Rank,69
Angola,2006,Educational_Attainment_Subindex,Index,0.7792
Angola,2006,Educational_Attainment_Subindex,Rank,107
Angola,2006,Health_and_Survival_Subindex,Index,0.9796
Angola,2006,Health_and_Survival_Subindex,Rank,1
Angola,2006,Political_Empowerment_subindex,Index,0.0696
Angola,2006,Political_Empowerment_subindex,Rank,81
Albania,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.6613
Albania,2006,Economic_Participation_and_Opportunity_Subindex,Rank,38
Albania,2006,Educational_Attainment_Subindex,Index,0.9888
Albania,2006,Educational_Attainment_Subindex,Rank,57
Albania,2006,Health_and_Survival_Subindex,Index,0.9553
Albania,2006,Health_and_Survival_Subindex,Rank,110
Albania,2006,Political_Empowerment_subindex,Index,0.0375
Albania,2006,Political_Empowerment_subindex,Rank,105
United Arab Emirates,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.4027
United Arab Emirates,2006,Economic_Participation_and_Opportunity_Subindex,Rank,109
United Arab Emirates,2006,Educational_Attainment_Subindex,Index,0.9861
United Arab Emirates,2006,Educational_Attainment_Subindex,Rank,60
United Arab Emirates,2006,Health_and_Survival_Subindex,Index,0.9643
United Arab Emirates,2006,Health_and_Survival_Subindex,Rank,100
United Arab Emirates,2006,Political_Empowerment_subindex,Index,0.0147
United Arab Emirates,2006,Political_Empowerment_subindex,Rank,112
Argentina,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.5513
Argentina,2006,Economic_Participation_and_Opportunity_Subindex,Rank,82
Argentina,2006,Educational_Attainment_Subindex,Index,0.9965
Argentina,2006,Educational_Attainment_Subindex,Rank,28
Argentina,2006,Health_and_Survival_Subindex,Index,0.9796
Argentina,2006,Health_and_Survival_Subindex,Rank,1
Argentina,2006,Political_Empowerment_subindex,Index,0.2044
Argentina,2006,Political_Empowerment_subindex,Rank,23
Australia,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.7259
Australia,2006,Economic_Participation_and_Opportunity_Subindex,Rank,12
Australia,2006,Educational_Attainment_Subindex,Index,1
Australia,2006,Educational_Attainment_Subindex,Rank,1
Australia,2006,Health_and_Survival_Subindex,Index,0.9761
Australia,2006,Health_and_Survival_Subindex,Rank,57
Australia,2006,Political_Empowerment_subindex,Index,0.1634
Australia,2006,Political_Empowerment_subindex,Rank,32
Austria,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.5526
Austria,2006,Economic_Participation_and_Opportunity_Subindex,Rank,81
Austria,2006,Educational_Attainment_Subindex,Index,0.9802
Austria,2006,Educational_Attainment_Subindex,Rank,68
Austria,2006,Health_and_Survival_Subindex,Index,0.9796
Austria,2006,Health_and_Survival_Subindex,Rank,1
Austria,2006,Political_Empowerment_subindex,Index,0.2821
Austria,2006,Political_Empowerment_subindex,Rank,14
Belgium,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.6199
Belgium,2006,Economic_Participation_and_Opportunity_Subindex,Rank,54
Belgium,2006,Educational_Attainment_Subindex,Index,1
Belgium,2006,Educational_Attainment_Subindex,Rank,1
Belgium,2006,Health_and_Survival_Subindex,Index,0.9796
Belgium,2006,Health_and_Survival_Subindex,Rank,1
Belgium,2006,Political_Empowerment_subindex,Index,0.2319
Belgium,2006,Political_Empowerment_subindex,Rank,19
Benin,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.6175
Benin,2006,Economic_Participation_and_Opportunity_Subindex,Rank,55
Benin,2006,Educational_Attainment_Subindex,Index,0.6435
Benin,2006,Educational_Attainment_Subindex,Rank,113
Benin,2006,Health_and_Survival_Subindex,Index,0.9688
Benin,2006,Health_and_Survival_Subindex,Rank,86
Benin,2006,Political_Empowerment_subindex,Index,0.082
Benin,2006,Political_Empowerment_subindex,Rank,76
Burkina Faso,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.6387
Burkina Faso,2006,Economic_Participation_and_Opportunity_Subindex,Rank,49
Burkina Faso,2006,Educational_Attainment_Subindex,Index,0.6456
Burkina Faso,2006,Educational_Attainment_Subindex,Rank,112
Burkina Faso,2006,Health_and_Survival_Subindex,Index,0.9733
Burkina Faso,2006,Health_and_Survival_Subindex,Rank,68
Burkina Faso,2006,Political_Empowerment_subindex,Index,0.084
Burkina Faso,2006,Political_Empowerment_subindex,Rank,74
Bangladesh,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.423
Bangladesh,2006,Economic_Participation_and_Opportunity_Subindex,Rank,107
Bangladesh,2006,Educational_Attainment_Subindex,Index,0.8681
Bangladesh,2006,Educational_Attainment_Subindex,Rank,95
Bangladesh,2006,Health_and_Survival_Subindex,Index,0.9495
Bangladesh,2006,Health_and_Survival_Subindex,Rank,113
Bangladesh,2006,Political_Empowerment_subindex,Index,0.2673
Bangladesh,2006,Political_Empowerment_subindex,Rank,17
Bulgaria,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.6132
Bulgaria,2006,Economic_Participation_and_Opportunity_Subindex,Rank,58
Bulgaria,2006,Educational_Attainment_Subindex,Index,0.9889
Bulgaria,2006,Educational_Attainment_Subindex,Rank,55
Bulgaria,2006,Health_and_Survival_Subindex,Index,0.9791
Bulgaria,2006,Health_and_Survival_Subindex,Rank,36
Bulgaria,2006,Political_Empowerment_subindex,Index,0.1666
Bulgaria,2006,Political_Empowerment_subindex,Rank,30
Bahrain,2006,Economic_Participation_and_Opportunity_Subindex,Index,0.3829
Bahrain,2006,Economic_Participation_and_Opportunity_Subindex,Rank,111
Bahrain,2006,Educational_Attainment_Subindex,Index,0.9893
Bahrain,2006,Educational_Attainment_Subindex,Rank,53
Bahrain,2006,Health_and_Survival_Subindex,Index,0.9617
Bahrain,2006,Health_and_Survival_Subindex,Rank,104
Bahrain,2006,Political_Empowerment_subindex,Index,0.0236
Bahrain,2006,Political_Empowerment_subindex,Rank,110
