Employment by Sector (Rate %),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Location,Gender,Sector,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,
Afghanistan,Male,Agriculture,51%,51%,45%,40%,36%,30%,30%,30%,30%,30%,29%,29%,,,,,
Albania,Male,Agriculture,36%,36%,35%,34%,39%,38%,37%,37%,37%,36%,35%,35%,,,,,
Algeria,Male,Agriculture,17%,16%,15%,13%,12%,12%,11%,10%,10%,9%,11%,10%,,,,,
Angola,Male,Agriculture,35%,37%,39%,42%,44%,44%,44%,43%,43%,43%,43%,43%,,,,,
Argentina,Male,Agriculture,2%,2%,2%,2%,1%,1%,1%,1%,0%,0%,0%,0%,,,,,
Armenia,Male,Agriculture,30%,31%,34%,32%,33%,31%,29%,30%,31%,31%,31%,30%,,,,,
Australia,Male,Agriculture,4%,4%,4%,4%,4%,4%,3%,4%,3%,3%,3%,3%,,,,,
Austria,Male,Agriculture,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,4%,4%,,,,,
Azerbaijan,Male,Agriculture,35%,39%,33%,32%,32%,32%,31%,31%,31%,31%,31%,31%,,,,,
Bahamas,Male,Agriculture,4%,5%,5%,5%,5%,5%,5%,5%,5%,5%,4%,4%,,,,,
Bahrain,Male,Agriculture,2%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,,,,,
Bangladesh,Male,Agriculture,42%,41%,41%,41%,40%,39%,38%,37%,36%,35%,32%,32%,,,,,
Barbados,Male,Agriculture,4%,4%,4%,4%,4%,3%,3%,4%,4%,4%,4%,4%,,,,,
Belarus,Male,Agriculture,14%,14%,14%,14%,13%,13%,13%,13%,13%,13%,14%,14%,,,,,
Belgium,Male,Agriculture,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,,,
Belize,Male,Agriculture,27%,27%,27%,26%,26%,25%,25%,24%,23%,22%,25%,25%,,,,,
Benin,Male,Agriculture,51%,51%,51%,51%,51%,51%,50%,49%,50%,49%,49%,49%,,,,,
Bhutan,Male,Agriculture,56%,57%,56%,55%,54%,51%,50%,50%,52%,52%,52%,51%,,,,,
Bolivia,Male,Agriculture,32%,31%,30%,30%,29%,28%,29%,30%,28%,29%,28%,28%,,,,,
Bosnia and Herzegovina,Male,Agriculture,18%,17%,17%,17%,17%,17%,17%,17%,17%,17%,16%,16%,,,,,
Botswana,Male,Agriculture,29%,29%,29%,29%,29%,28%,28%,28%,28%,27%,27%,27%,,,,,
Brunei Darussalam,Male,Agriculture,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,2%,2%,,,,,
Brazil,Male,Agriculture,21%,20%,20%,19%,19%,15%,15%,14%,14%,14%,13%,13%,,,,,
Bulgaria,Male,Agriculture,9%,9%,9%,8%,9%,8%,9%,9%,9%,9%,9%,9%,,,,,
Burkina Faso,Male,Agriculture,67%,65%,60%,56%,52%,47%,42%,37%,37%,36%,36%,35%,,,,,
Burundi,Male,Agriculture,87%,87%,87%,87%,87%,87%,87%,86%,87%,87%,87%,87%,,,,,
Cambodia,Male,Agriculture,52%,48%,45%,41%,37%,34%,33%,32%,32%,31%,31%,30%,,,,,
Cameroon,Male,Agriculture,54%,53%,51%,50%,48%,46%,44%,43%,42%,42%,42%,41%,,,,,
Canada,Male,Agriculture,3%,3%,3%,2%,2%,2%,2%,2%,2%,3%,2%,2%,,,,,
Cape Verde,Male,Agriculture,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,18%,18%,,,,,
Central African Republic,Male,Agriculture,68%,68%,68%,68%,68%,68%,72%,72%,72%,71%,71%,71%,,,,,
Chad,Male,Agriculture,80%,80%,80%,80%,80%,80%,79%,79%,79%,79%,80%,80%,,,,,
Channel Islands,Male,Agriculture,6%,6%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,,,,,
Chile,Male,Agriculture,16%,15%,15%,14%,14%,13%,13%,13%,13%,13%,12%,12%,,,,,
China,Male,Agriculture,43%,42%,40%,39%,37%,36%,34%,32%,31%,30%,29%,29%,,,,,
Colombia,Male,Agriculture,26%,26%,27%,26%,25%,24%,23%,23%,22%,22%,23%,23%,,,,,
Comoros,Male,Agriculture,51%,51%,52%,52%,52%,52%,53%,53%,53%,53%,53%,52%,,,,,
Congo,Male,Agriculture,38%,39%,38%,38%,38%,37%,37%,36%,35%,35%,35%,35%,,,,,
"Congo, Democratic Republic of the",Male,Agriculture,63%,63%,63%,63%,63%,63%,62%,62%,61%,61%,61%,61%,,,,,
Costa Rica,Male,Agriculture,18%,17%,17%,16%,15%,15%,14%,16%,17%,17%,17%,17%,,,,,
Croatia,Male,Agriculture,11%,12%,13%,13%,14%,12%,12%,11%,11%,9%,9%,8%,,,,,
Cuba,Male,Agriculture,25%,25%,25%,25%,26%,26%,25%,25%,25%,25%,25%,25%,,,,,
Cyprus,Male,Agriculture,6%,5%,5%,5%,5%,4%,4%,6%,6%,5%,4%,4%,,,,,
Czech Republic,Male,Agriculture,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,,,,,
